Node_ID,Elevation_Smoothen_ft,Curve_Current_degrees,geometry,x_coordinate,y_coordinate,Station_if,Intersection_if,Switch_if,Cumulative_Length_ft
215,813.9427286,0.00024,POINT (-79.7625 36.07361),-79.7625,36.07361,0,0,0,10750
216,813.5342571,0.00024,POINT (-79.7623 36.07365),-79.7623,36.07365,0,0,0,10800
217,813.0824714,0.00024,POINT (-79.7622 36.07368),-79.7622,36.07368,0,0,0,10850
218,812.6240857,0.00024,POINT (-79.7621 36.07372),-79.7621,36.07372,0,0,0,10900
219,812.1574857,0.00024,POINT (-79.7619 36.07376),-79.7619,36.07376,0,0,0,10950
220,811.6889429,0.00024,POINT (-79.7618 36.07379),-79.7618,36.07379,0,0,0,11000
221,811.2597571,0,POINT (-79.7617 36.07383),-79.7617,36.07383,0,0,0,11050
222,810.8098714,0.00024,POINT (-79.7616 36.07386),-79.7616,36.07386,0,0,0,11100
223,810.3634,0.00024,POINT (-79.7614 36.0739),-79.7614,36.0739,0,0,0,11150
224,809.9414,0.00024,POINT (-79.7613 36.07394),-79.7613,36.07394,0,0,0,11200
225,809.5035571,0.00024,POINT (-79.7612 36.07397),-79.7612,36.07397,0,0,0,11250
226,809.0941857,0,POINT (-79.761 36.07401),-79.761,36.07401,0,0,0,11300
227,808.7193714,0.00024,POINT (-79.7609 36.07404),-79.7609,36.07404,0,0,0,11350
228,808.3591714,0.00024,POINT (-79.7608 36.07408),-79.7608,36.07408,0,0,0,11400
229,808.0795429,0.00024,POINT (-79.7606 36.07412),-79.7606,36.07412,0,0,0,11450
230,807.9170429,0.00024,POINT (-79.7605 36.07415),-79.7605,36.07415,0,0,0,11500
231,807.8137286,0.00024,POINT (-79.7604 36.07419),-79.7604,36.07419,0,0,0,11550
232,807.5721714,0.00024,POINT (-79.7603 36.07422),-79.7603,36.07422,0,0,0,11600
233,807.2449286,2.0631,POINT (-79.7601 36.07426),-79.7601,36.07426,0,0,0,11650
234,806.9432286,1.60864,POINT (-79.76 36.07429),-79.76,36.07429,0,0,0,11700
235,806.5239,0,POINT (-79.7599 36.07433),-79.7599,36.07433,0,0,0,11750
236,806.1853571,0.00022,POINT (-79.7597 36.07436),-79.7597,36.07436,0,0,0,11800
237,805.9759714,0.19876,POINT (-79.7596 36.07439),-79.7596,36.07439,0,0,0,11850
238,805.7496,1.61816,POINT (-79.7595 36.07443),-79.7595,36.07443,0,0,0,11900
239,805.5816286,0.83378,POINT (-79.7593 36.07446),-79.7593,36.07446,0,0,0,11950
240,805.5454,0.0002,POINT (-79.7592 36.07449),-79.7592,36.07449,0,0,0,12000
241,805.5480286,0.0002,POINT (-79.7591 36.07452),-79.7591,36.07452,0,0,0,12050
242,805.6935,0,POINT (-79.759 36.07455),-79.759,36.07455,0,0,0,12100
243,805.7405,0,POINT (-79.7588 36.07458),-79.7588,36.07458,0,0,0,12150
244,805.5881286,0.00052,POINT (-79.7587 36.07461),-79.7587,36.07461,0,0,0,12200
245,805.4609,0.00052,POINT (-79.7586 36.07464),-79.7586,36.07464,0,0,0,12250
246,805.4735429,0,POINT (-79.7584 36.07467),-79.7584,36.07467,0,0,0,12300
247,805.4835714,0,POINT (-79.7583 36.0747),-79.7583,36.0747,0,0,0,12350
248,805.4927857,0,POINT (-79.7582 36.07473),-79.7582,36.07473,0,0,0,12400
249,805.5951857,0.00052,POINT (-79.758 36.07476),-79.758,36.07476,0,0,0,12450
250,805.5681143,0.00052,POINT (-79.7579 36.07479),-79.7579,36.07479,0,0,0,12500
251,805.4631286,0,POINT (-79.7578 36.07482),-79.7578,36.07482,0,0,0,12550
252,805.3693,0,POINT (-79.7576 36.07485),-79.7576,36.07485,0,1,0,12600
253,805.3517857,4.54114,POINT (-79.7575 36.07488),-79.7575,36.07488,0,0,0,12650
254,805.3608429,2.80798,POINT (-79.7574 36.07492),-79.7574,36.07492,0,0,0,12700
255,805.2519286,0,POINT (-79.7572 36.07496),-79.7572,36.07496,0,0,0,12750
256,804.9924571,0.00026,POINT (-79.7571 36.07499),-79.7571,36.07499,0,0,0,12800
257,804.8366143,0.00096,POINT (-79.757 36.07503),-79.757,36.07503,0,0,0,12850
258,804.7158714,0.0007,POINT (-79.7569 36.07507),-79.7569,36.07507,0,0,0,12900
259,804.5559714,0,POINT (-79.7567 36.07511),-79.7567,36.07511,0,0,0,12950
260,804.4523429,0,POINT (-79.7566 36.07514),-79.7566,36.07514,0,0,0,13000
261,804.3608857,6.01392,POINT (-79.7565 36.07518),-79.7565,36.07518,0,0,0,13050
262,804.3862429,4.13816,POINT (-79.7563 36.07522),-79.7563,36.07522,0,0,0,13100
263,804.4419857,0.00038,POINT (-79.7562 36.07527),-79.7562,36.07527,0,0,0,13150
264,804.5491429,0.00038,POINT (-79.7561 36.07532),-79.7561,36.07532,0,0,0,13200
265,804.6588571,0,POINT (-79.756 36.07536),-79.756,36.07536,0,0,0,13250
266,804.6819571,0,POINT (-79.7558 36.07541),-79.7558,36.07541,0,0,0,13300
267,804.6194429,0.00038,POINT (-79.7557 36.07545),-79.7557,36.07545,0,0,0,13350
268,804.5952286,2.86192,POINT (-79.7556 36.0755),-79.7556,36.0755,0,0,0,13400
269,804.5621286,8.32278,POINT (-79.7555 36.07555),-79.7555,36.07555,0,0,0,13450
270,804.5296,0.00038,POINT (-79.7554 36.07561),-79.7554,36.07561,0,0,0,13500
271,804.4734571,0.00102,POINT (-79.7552 36.07566),-79.7552,36.07566,0,0,0,13550
272,804.4335286,0.00064,POINT (-79.7551 36.07572),-79.7551,36.07572,0,0,0,13600
273,804.5776857,0.00038,POINT (-79.755 36.07577),-79.755,36.07577,0,0,0,13650
274,804.6032571,0.00102,POINT (-79.7549 36.07583),-79.7549,36.07583,0,0,0,13700
275,804.5093714,0.00064,POINT (-79.7548 36.07589),-79.7548,36.07589,0,0,0,13750
276,804.3479429,0.00038,POINT (-79.7546 36.07594),-79.7546,36.07594,0,1,0,13800
277,804.0574429,7.1385,POINT (-79.7545 36.076),-79.7545,36.076,0,0,0,13850
278,803.6592857,7.18346,POINT (-79.7544 36.07606),-79.7544,36.07606,0,0,0,13900
279,803.2094571,0,POINT (-79.7543 36.07613),-79.7543,36.07613,0,0,0,13950
280,802.5452714,0.00046,POINT (-79.7542 36.07619),-79.7542,36.07619,0,0,0,14000
281,801.9054286,0.00046,POINT (-79.7541 36.07626),-79.7541,36.07626,0,0,0,14050
282,801.2865286,0.00046,POINT (-79.754 36.07633),-79.754,36.07633,0,0,0,14100
283,800.7407714,0.00014,POINT (-79.7539 36.0764),-79.7539,36.0764,0,0,0,14150
284,800.1615571,0.0006,POINT (-79.7538 36.07646),-79.7538,36.07646,0,0,0,14200
285,799.7321571,0.00046,POINT (-79.7537 36.07653),-79.7537,36.07653,0,0,0,14250
286,799.4460143,0.00046,POINT (-79.7535 36.0766),-79.7535,36.0766,0,0,0,14300
287,799.3623286,0,POINT (-79.7534 36.07667),-79.7534,36.07667,0,0,0,14350
