Speed_mph,Elevation_Smoothen_ft,Curve_Current_degrees,Curve_Max_Preceding_250ft_degrees,Curve_Max_Following_250ft_degrees,Elev_Delta_CUR_ft,Elev_Delta_PRE_ft,Elev_Delta_FOL_ft,Distance_to_Key_Nodes_FOL,Distance_to_Key_Nodes_PRE,Station,Intersection,Switch,geometry,x_coordinate,y_coordinate,Station_if,Intersection_if,Switch_if,Intersection_dist,Station_dist,Node_ID,Cumulative_Length_ft
16.68,808.9565857,0.00076,2.60144,5.69416,0.6510428999999931,0.7477427999999691,0.5503572000000077,750.0,2250.0,0,1,0,POINT (-79.73837599999999 36.084185999999995),-79.7384,36.08415,0,0,0,750.0,19250.0,417,696150
75.72,808.2088429,0.00014,2.60144,5.69416,0.6918428000000176,0.6918428000000176,0.7477427999999691,850.0,2150.0,0,1,0,POINT (-79.738116 36.084236),-79.7382,36.08419,0,0,0,850.0,19350.0,419,696050
67.11,802.7188857,0.0001,0.0001,0.0001,0.5661141999999018,0.632114300000012,0.9757143000000497,1750.0,1250.0,0,1,0,POINT (-79.735782 36.084526),-79.7357,36.08446,0,0,0,1750.0,20250.0,437,695150
73.0,802.0855857,0.00074,0.00074,0.00074,-0.013642800000070565,-0.013642800000070565,0.10604290000003402,2900.0,100.0,0,1,0,POINT (-79.732562 36.084762),-79.7326,36.08477,0,0,0,2900.0,21400.0,460,694000
77.16,802.1185857,0.00066,0.00074,0.00074,-0.11715719999995144,-0.11715719999995144,0.055514300000027106,2950.0,50.0,0,1,0,POINT (-79.732539 36.084808),-79.7325,36.08478,0,0,0,2950.0,21450.0,461,693950
77.16,802.1185857,0.00066,0.00074,0.00074,-0.11715719999995144,-0.11715719999995144,0.055514300000027106,2950.0,50.0,0,1,0,POINT (-79.732539 36.084808),-79.7325,36.08478,0,0,0,2950.0,21450.0,461,693950
70.24,802.6873286,0.00082,0.00082,0.00074,-0.11894289999997909,-0.09820000000001983,-0.13892859999998564,300.0,1900.0,0,1,0,POINT (-79.73153199999999 36.084876),-79.7315,36.08487,0,0,0,300.0,21800.0,468,693600
72.29,803.2671571,0.00082,0.00074,0.00082,-0.16038570000000618,-0.10452859999998054,-0.09820000000001983,700.0,1500.0,0,1,0,POINT (-79.730373 36.08497599999999),-79.7304,36.08496,0,0,0,700.0,22200.0,476,693200
75.19,801.8653143,0.0,0.00074,0.00074,0.582528600000046,0.7038142999999764,0.5764713999999458,1700.0,500.0,0,1,0,POINT (-79.727725 36.085247),-79.7277,36.08521,0,0,0,1700.0,23200.0,496,692200
72.77,796.2783,0.0007,0.45022,0.00082,0.8777142999999796,1.0932142999999996,0.8317429000001084,250.0,3350.0,0,1,0,POINT (-79.725635 36.08541799999999),-79.7257,36.08539,0,0,0,250.0,23950.0,511,691450
78.44,789.6815,0.0,0.0,1.88468,0.2901858000000175,0.2901858000000175,0.4394714999999678,1450.0,2150.0,0,1,0,POINT (-79.722423 36.08557799999999),-79.7224,36.08555,0,0,0,1450.0,25150.0,535,690250
78.73,785.9321429,0.0,0.00076,0.00076,0.41881420000004255,0.6210286000000451,0.3590141999999332,3000.0,600.0,0,1,0,POINT (-79.71815 36.08557799999999),-79.7181,36.08559,0,0,0,3000.0,26700.0,566,688700
71.95,785.4345143,0.00076,2.18368,0.00076,0.5682285999999976,0.6210286000000451,0.49762859999998454,3100.0,500.0,0,1,0,POINT (-79.717815 36.08558599999999),-79.7179,36.0856,0,0,0,3100.0,26800.0,568,688600
65.43,787.6114143,0.0,2.18444,0.0,0.23140000000000782,0.24435719999996763,0.2549714000000449,2300.0,1300.0,0,1,0,POINT (-79.72009599999998 36.08558599999999),-79.72,36.08557,0,0,0,2300.0,26000.0,552,689400
67.38,787.1371714,0.00076,0.00076,2.18444,0.23627139999996416,0.23627139999996416,0.2549714000000449,2500.0,1100.0,0,1,0,POINT (-79.71947799999998 36.085597),-79.7195,36.08557,0,0,0,2500.0,26200.0,556,689200
74.55,789.0098571,0.0,1.79942,0.0,0.2565856999999596,0.2772714000000178,0.2901858000000175,1700.0,1900.0,0,1,0,POINT (-79.72168999999998 36.085597),-79.7217,36.08556,0,0,0,1700.0,25400.0,540,690000
66.08,769.4689429,2e-05,4.63106,0.00078,0.6753999999999678,0.7445142999999916,0.7869000000000597,750.0,1800.0,0,1,0,POINT (-79.71124599999999 36.085609),-79.7113,36.08564,0,0,0,750.0,29200.0,616,686200
64.88,772.8419,0.00074,1.04864,0.00076,0.6173142999999754,0.7847570999999789,0.634828500000026,300.0,2250.0,0,1,0,POINT (-79.71254299999998 36.08561699999999),-79.7125,36.0856,0,0,0,300.0,28750.0,607,686650
72.43,773.7668571,0.00074,1.04864,2.34318,0.5427143000000569,0.6867143000000624,0.7811571000000868,150.0,2400.0,0,1,0,POINT (-79.712894 36.085628),-79.7129,36.08559,0,0,0,150.0,28600.0,604,686800
63.07,767.6951714,0.00068,0.00068,4.63106,0.7497857999999269,0.8270856999999978,0.7445142999999916,1000.0,1550.0,0,1,0,POINT (-79.710597 36.085685000000005),-79.7106,36.08567,0,0,0,1000.0,29450.0,621,685950
61.31,767.6951714,0.00068,0.00068,4.63106,0.7497857999999269,0.8270856999999978,0.7445142999999916,1000.0,1550.0,0,1,0,POINT (-79.71057399999998 36.085689),-79.7106,36.08567,0,0,0,1000.0,29450.0,621,685950
63.56,765.2776286,8e-05,1.73476,0.00068,0.8418142999998963,0.8710428999999067,0.8270856999999978,1300.0,1250.0,0,1,0,POINT (-79.70977299999998 36.085758),-79.7098,36.08573,0,0,0,1300.0,29750.0,627,685650
72.92,763.2581286,0.00064,0.00074,1.73476,0.6857856999999967,0.6857856999999967,0.8710428999999067,1550.0,1000.0,0,1,0,POINT (-79.709087 36.085826),-79.7091,36.08579,0,0,0,1550.0,30000.0,632,685400
71.88,762.9377286,0.0,0.00074,1.73476,0.6444000000000187,0.6444000000000187,0.8710428999999067,1600.0,950.0,0,1,0,POINT (-79.70901 36.085838),-79.709,36.0858,0,0,0,1600.0,30050.0,633,685350
57.74,760.8473143,0.00084,1.3112,0.00084,0.5545429000000013,0.5660143000000062,0.6230571999999484,1950.0,600.0,0,1,0,POINT (-79.707965 36.085948),-79.708,36.08589,0,0,0,1950.0,30400.0,640,685000
68.12,760.2881143,0.0,1.3112,0.00084,0.5660143000000062,0.5660143000000062,0.6171285000000353,2050.0,500.0,0,1,0,POINT (-79.707706 36.08596699999998),-79.7077,36.08592,0,0,0,2050.0,30500.0,642,684900
68.6,757.5588429,0.0,2.44966,0.00076,0.4118571999999858,0.6095143000000007,0.32361420000006547,450.0,2000.0,0,1,0,POINT (-79.705211 36.086227),-79.7052,36.08619,0,0,0,450.0,31450.0,661,683950
68.71,756.8235429,0.00076,2.44966,0.0001,0.5429428999999573,0.707228500000042,0.5126285000000053,600.0,1850.0,0,1,0,POINT (-79.704722 36.086256999999996),-79.7048,36.08624,0,0,0,600.0,31600.0,664,683800
60.63,756.5416857,1.31308,2.44966,0.00076,0.6095143000000007,0.7480000000000473,0.5429428999999573,650.0,1800.0,0,1,0,POINT (-79.704631 36.08628000000001),-79.7046,36.08625,0,0,0,650.0,31650.0,665,683750
59.0,755.5408571,0.0,0.00012,2.44966,0.707228500000042,1.0133713999999827,0.6731714999999667,800.0,1650.0,0,1,0,POINT (-79.704227 36.08632999999999),-79.7042,36.0863,0,0,0,800.0,31800.0,668,683600
0.0,624.6415,0.0002,0.00074,6.09194,0.7491284999999834,0.8792856999999685,0.6195286000000806,4100.0,10900.0,0,1,0,POINT (-79.398067 36.080306),-79.3981,36.08026,0,0,0,4100.0,15450.0,3128,560600
0.92,624.6415,0.0002,0.00074,6.09194,0.7491284999999834,0.8792856999999685,0.6195286000000806,4100.0,10900.0,0,1,0,POINT (-79.39803599999999 36.080337),-79.3981,36.08026,0,0,0,4100.0,15450.0,3128,560600
0.06,619.7593286,0.00074,0.00074,0.00092,0.922885699999938,0.9366285999999491,0.9560857000000169,4650.0,10350.0,0,1,0,POINT (-79.396564 36.080558),-79.3966,36.08056,0,0,0,4650.0,16000.0,3139,560050
2.78,619.2938,0.0,0.62828,0.00092,0.9366285999999491,0.9366285999999491,0.9560857000000169,4700.0,10300.0,0,1,0,POINT (-79.396518 36.080566),-79.3965,36.08058,0,0,0,4700.0,16050.0,3140,560000
0.01,619.7593286,0.00074,0.00074,0.00092,0.922885699999938,0.9366285999999491,0.9560857000000169,4650.0,10350.0,0,1,0,POINT (-79.396556 36.080574),-79.3966,36.08056,0,0,0,4650.0,16000.0,3139,560050
